timestamp,class,count
2025-05-20 19:12:39,person,1
2025-05-20 19:12:39,chair,1
2025-05-20 19:12:39,person,1
2025-05-20 19:12:39,chair,1
2025-05-20 19:12:39,couch,1
2025-05-20 19:12:40,person,1
2025-05-20 19:12:40,chair,2
2025-05-20 19:12:40,person,1
2025-05-20 19:12:40,couch,1
2025-05-20 19:12:40,person,1
2025-05-20 19:12:40,couch,1
2025-05-20 19:12:40,person,1
2025-05-20 19:12:40,chair,2
2025-05-20 19:12:40,couch,1
2025-05-20 19:12:40,person,1
2025-05-20 19:12:40,couch,1
2025-05-20 19:12:40,chair,1
2025-05-20 19:12:40,person,2
2025-05-20 19:12:40,chair,1
2025-05-20 19:12:40,couch,1
2025-05-20 19:12:41,person,2
2025-05-20 19:12:41,chair,1
2025-05-20 19:12:41,couch,1
2025-05-20 19:12:41,chair,1
2025-05-20 19:12:41,person,3
2025-05-20 19:12:41,couch,1
2025-05-20 19:12:41,person,2
2025-05-20 19:12:41,chair,1
2025-05-20 19:12:41,couch,1
2025-05-20 19:12:41,person,1
2025-05-20 19:12:41,chair,1
2025-05-20 19:12:41,couch,1
2025-05-20 19:12:41,person,1
2025-05-20 19:12:41,chair,1
2025-05-20 19:12:41,couch,1
2025-05-20 19:12:41,person,1
2025-05-20 19:12:41,chair,1
2025-05-20 19:12:41,couch,1
2025-05-20 19:12:42,person,1
2025-05-20 19:12:42,couch,1
2025-05-20 19:12:42,chair,1
2025-05-20 19:12:42,person,1
2025-05-20 19:12:42,chair,1
2025-05-20 19:12:42,couch,1
2025-05-20 19:12:42,person,1
2025-05-20 19:12:42,chair,1
2025-05-20 19:12:42,couch,1
2025-05-20 19:12:42,person,1
2025-05-20 19:12:42,chair,1
2025-05-20 19:12:42,couch,1
2025-05-20 19:12:42,person,1
2025-05-20 19:12:42,chair,1
2025-05-20 19:12:42,couch,1
2025-05-20 19:12:42,person,1
2025-05-20 19:12:42,couch,2
2025-05-20 19:12:42,chair,1
2025-05-20 19:12:43,person,1
2025-05-20 19:12:43,couch,1
2025-05-20 19:12:43,chair,2
2025-05-20 19:12:43,person,1
2025-05-20 19:12:43,chair,1
2025-05-20 19:12:43,couch,1
2025-05-20 19:12:43,person,1
2025-05-20 19:12:43,chair,1
2025-05-20 19:12:43,couch,1
2025-05-20 19:12:43,person,1
2025-05-20 19:12:43,chair,1
2025-05-20 19:12:43,couch,1
2025-05-20 19:12:43,person,1
2025-05-20 19:12:43,chair,1
2025-05-20 19:12:43,couch,1
2025-05-20 19:12:44,person,1
2025-05-20 19:12:44,chair,1
2025-05-20 19:12:44,couch,1
2025-05-20 19:12:44,person,1
2025-05-20 19:12:44,chair,1
2025-05-20 19:12:44,couch,1
2025-05-20 19:12:44,person,1
2025-05-20 19:12:44,chair,1
2025-05-20 19:12:44,couch,1
2025-05-20 19:12:44,person,1
2025-05-20 19:12:44,chair,1
2025-05-20 19:12:44,couch,1
2025-05-20 19:12:44,person,2
2025-05-20 19:12:44,chair,1
2025-05-20 19:12:44,couch,2
2025-05-20 19:12:44,person,1
2025-05-20 19:12:44,chair,1
2025-05-20 19:12:44,couch,1
2025-05-20 19:12:45,person,1
2025-05-20 19:12:45,chair,1
2025-05-20 19:12:45,couch,1
2025-05-20 19:12:45,person,2
2025-05-20 19:12:45,chair,1
2025-05-20 19:12:45,couch,1
2025-05-20 19:12:45,person,1
2025-05-20 19:12:45,chair,2
2025-05-20 19:12:45,couch,1
2025-05-20 19:12:45,person,1
2025-05-20 19:12:45,couch,2
2025-05-20 19:12:45,person,1
2025-05-20 19:12:45,chair,1
2025-05-20 19:12:45,couch,1
2025-05-20 19:12:46,person,1
2025-05-20 19:12:46,chair,1
2025-05-20 19:12:46,couch,1
2025-05-20 19:12:46,person,1
2025-05-20 19:12:46,couch,1
2025-05-20 19:12:46,chair,1
2025-05-20 19:12:46,person,1
2025-05-20 19:12:46,chair,1
2025-05-20 19:12:46,couch,1
2025-05-20 19:12:46,person,1
2025-05-20 19:12:46,chair,1
2025-05-20 19:12:46,couch,1
2025-05-20 19:12:46,person,1
2025-05-20 19:12:46,chair,2
2025-05-20 19:12:46,couch,1
2025-05-20 19:12:47,person,1
2025-05-20 19:12:47,chair,1
2025-05-20 19:12:47,couch,1
2025-05-20 19:12:47,person,1
2025-05-20 19:12:47,chair,1
2025-05-20 19:12:47,couch,1
2025-05-20 19:12:47,person,1
2025-05-20 19:12:47,chair,1
2025-05-20 19:12:47,couch,1
2025-05-20 19:12:47,person,1
2025-05-20 19:12:47,chair,1
2025-05-20 19:12:47,couch,1
2025-05-20 19:12:47,person,1
2025-05-20 19:12:47,chair,1
2025-05-20 19:12:47,couch,1
2025-05-20 19:12:47,person,1
2025-05-20 19:12:47,chair,1
2025-05-20 19:12:47,couch,1
2025-05-20 19:12:47,person,1
2025-05-20 19:12:47,chair,1
2025-05-20 19:12:47,couch,1
2025-05-20 19:12:48,person,1
2025-05-20 19:12:48,chair,1
2025-05-20 19:12:48,couch,1
2025-05-20 19:12:48,person,1
2025-05-20 19:12:48,chair,1
2025-05-20 19:12:48,couch,1
2025-05-20 19:12:48,person,1
2025-05-20 19:12:48,couch,1
2025-05-20 19:12:48,chair,1
2025-05-20 19:12:48,person,1
2025-05-20 19:12:48,chair,1
2025-05-20 19:12:48,couch,1
2025-05-20 19:12:48,person,1
2025-05-20 19:12:48,chair,1
2025-05-20 19:12:48,couch,1
2025-05-20 19:12:48,person,1
2025-05-20 19:12:48,chair,1
2025-05-20 19:12:48,couch,1
2025-05-20 19:12:49,person,1
2025-05-20 19:12:49,chair,1
2025-05-20 19:12:49,couch,1
2025-05-20 19:12:49,person,1
2025-05-20 19:12:49,chair,1
2025-05-20 19:12:49,couch,1
2025-05-20 19:12:49,person,1
2025-05-20 19:12:49,chair,1
2025-05-20 19:12:49,couch,1
2025-05-20 19:12:49,person,1
2025-05-20 19:12:49,chair,1
2025-05-20 19:12:49,couch,1
2025-05-20 19:12:49,person,1
2025-05-20 19:12:49,chair,1
2025-05-20 19:12:49,couch,1
2025-05-20 19:12:50,person,1
2025-05-20 19:12:50,chair,1
2025-05-20 19:12:50,couch,1
2025-05-20 19:12:50,person,1
2025-05-20 19:12:50,chair,1
2025-05-20 19:12:50,couch,1
2025-05-20 19:12:50,person,1
2025-05-20 19:12:50,chair,1
2025-05-20 19:12:50,couch,1
2025-05-20 19:12:50,person,1
2025-05-20 19:12:50,chair,1
2025-05-20 19:12:50,couch,1
2025-05-20 19:12:50,person,1
2025-05-20 19:12:50,chair,1
2025-05-20 19:12:50,couch,1
2025-05-20 19:12:50,person,1
2025-05-20 19:12:50,chair,1
2025-05-20 19:12:50,couch,1
2025-05-20 19:12:50,person,1
2025-05-20 19:12:50,chair,1
2025-05-20 19:12:50,couch,1
2025-05-20 19:12:51,person,1
2025-05-20 19:12:51,chair,1
2025-05-20 19:12:51,couch,1
2025-05-20 19:12:51,person,1
2025-05-20 19:12:51,chair,1
2025-05-20 19:12:51,couch,2
2025-05-20 19:12:51,person,1
2025-05-20 19:12:51,chair,1
2025-05-20 19:12:51,couch,1
2025-05-20 19:12:51,person,1
2025-05-20 19:12:51,couch,1
2025-05-20 19:12:51,chair,1
2025-05-20 19:12:51,person,1
2025-05-20 19:12:51,chair,1
2025-05-20 19:12:51,couch,1
2025-05-20 19:12:52,person,1
2025-05-20 19:12:52,couch,1
2025-05-20 19:12:52,chair,2
2025-05-20 19:12:52,person,1
2025-05-20 19:12:52,couch,2
2025-05-20 19:12:52,chair,2
2025-05-20 19:12:52,person,1
2025-05-20 19:12:52,chair,1
2025-05-20 19:12:52,couch,2
2025-05-20 19:12:52,person,1
2025-05-20 19:12:52,chair,2
2025-05-20 19:12:52,couch,2
2025-05-20 19:12:52,person,1
2025-05-20 19:12:52,chair,2
2025-05-20 19:12:52,couch,2
2025-05-20 19:12:52,person,1
2025-05-20 19:12:52,couch,2
2025-05-20 19:12:52,chair,1
2025-05-20 19:12:53,person,1
2025-05-20 19:12:53,couch,2
2025-05-20 19:12:53,chair,1
2025-05-20 19:12:53,person,1
2025-05-20 19:12:53,couch,1
2025-05-20 19:12:53,person,1
2025-05-20 19:12:53,couch,2
2025-05-20 19:12:53,person,1
2025-05-20 19:12:53,couch,2
2025-05-20 19:12:53,chair,1
2025-05-20 19:12:53,person,1
2025-05-20 19:12:53,couch,2
2025-05-20 19:12:53,chair,1
2025-05-20 19:12:53,person,1
2025-05-20 19:12:53,chair,1
2025-05-20 19:12:53,couch,1
2025-05-20 19:12:54,person,1
2025-05-20 19:12:54,chair,1
2025-05-20 19:12:54,couch,1
2025-05-20 19:12:54,person,1
2025-05-20 19:12:54,couch,2
2025-05-20 19:12:54,person,1
2025-05-20 19:12:54,couch,1
2025-05-20 19:12:54,chair,1
